lr-Adam,step,train loss,epoch
0.0001,49,,
,49,7.709049224853516,0
0.0001,99,,
,99,7.1295857429504395,0
0.0001,149,,
,149,7.1541595458984375,0
0.0001,199,,
,199,6.950618743896484,0
0.0001,249,,
,249,6.68135929107666,0
0.0001,299,,
,299,6.516972064971924,0
0.0001,349,,
,349,6.362480640411377,0
0.0001,399,,
,399,6.781376838684082,0
0.0001,449,,
,449,6.678838729858398,0
0.0001,499,,
,499,6.476653099060059,0
0.0001,549,,
,549,6.738541126251221,0
0.0001,599,,
,599,6.455134391784668,0
0.0001,649,,
,649,6.41141939163208,0
0.0001,699,,
,699,6.3538031578063965,0
0.0001,749,,
,749,6.593443870544434,0
0.0001,799,,
,799,6.359699249267578,0
0.0001,849,,
,849,6.613568305969238,0
0.0001,899,,
,899,6.457004547119141,0
0.0001,949,,
,949,6.38551139831543,0
0.0001,999,,
,999,6.230923652648926,0
0.0001,1049,,
,1049,5.981142997741699,0
0.0001,1099,,
,1099,6.240260124206543,0
0.0001,1149,,
,1149,6.109387397766113,0
0.0001,1199,,
,1199,5.954352855682373,0
0.0001,1249,,
,1249,6.404963970184326,0
0.0001,1299,,
,1299,6.213042259216309,0
0.0001,1349,,
,1349,6.446494102478027,0
0.0001,1399,,
,1399,5.901108264923096,0
0.0001,1449,,
,1449,6.016175746917725,0
0.0001,1499,,
,1499,6.009023666381836,0
0.0001,1549,,
,1549,5.718123912811279,0
0.0001,1599,,
,1599,6.205475330352783,0
0.0001,1649,,
,1649,6.031022548675537,0
0.0001,1699,,
,1699,5.831386566162109,0
0.0001,1749,,
,1749,5.7804718017578125,0
0.0001,1799,,
,1799,5.9099955558776855,0
0.0001,1849,,
,1849,5.99947452545166,1
0.0001,1899,,
,1899,5.771955490112305,1
0.0001,1949,,
,1949,6.084981441497803,1
0.0001,1999,,
,1999,5.781457424163818,1
0.0001,2049,,
,2049,5.882414817810059,1
0.0001,2099,,
,2099,5.697669982910156,1
0.0001,2149,,
,2149,5.613689422607422,1
0.0001,2199,,
,2199,5.57694149017334,1
0.0001,2249,,
,2249,5.727051734924316,1
0.0001,2299,,
,2299,5.710299015045166,1
0.0001,2349,,
,2349,5.432372570037842,1
0.0001,2399,,
,2399,5.398548603057861,1
0.0001,2449,,
,2449,5.859241485595703,1
0.0001,2499,,
,2499,5.790657043457031,1
0.0001,2549,,
,2549,5.395383834838867,1
0.0001,2599,,
,2599,5.454584121704102,1
0.0001,2649,,
,2649,5.837456703186035,1
0.0001,2699,,
,2699,5.7834248542785645,1
0.0001,2749,,
,2749,5.7399001121521,1
0.0001,2799,,
,2799,5.686243057250977,1
0.0001,2849,,
,2849,5.6276960372924805,1
0.0001,2899,,
,2899,5.774422645568848,1
0.0001,2949,,
,2949,5.869898796081543,1
0.0001,2999,,
,2999,5.562381744384766,1
0.0001,3049,,
,3049,5.54382848739624,1
0.0001,3099,,
,3099,5.479769229888916,1
0.0001,3149,,
,3149,5.4150495529174805,1
0.0001,3199,,
,3199,5.7504496574401855,1
0.0001,3249,,
