lr-Adam,step,train_loss,epoch
0.0001,49,,
,49,7.7363080978393555,0
0.0001,99,,
,99,7.258763313293457,0
0.0001,149,,
,149,6.892457485198975,0
0.0001,199,,
,199,6.754591464996338,0
0.0001,249,,
,249,6.833702564239502,0
0.0001,299,,
,299,6.611346244812012,0
0.0001,349,,
,349,6.686427116394043,0
0.0001,399,,
,399,6.44705867767334,0
0.0001,449,,
,449,6.532430171966553,0
0.0001,499,,
,499,6.457152366638184,0
0.0001,549,,
,549,6.57040548324585,0
0.0001,599,,
,599,6.672585487365723,0
0.0001,649,,
,649,6.479886054992676,0
0.0001,699,,
,699,6.458434581756592,0
0.0001,749,,
,749,6.291971206665039,0
0.0001,799,,
,799,6.1752424240112305,0
0.0001,849,,
,849,6.347082614898682,0
0.0001,899,,
,899,6.389638423919678,0
0.0001,949,,
,949,6.591543197631836,0
0.0001,999,,
,999,6.62933874130249,0
0.0001,1049,,
,1049,6.490342617034912,0
0.0001,1099,,
,1099,6.3568854331970215,0
0.0001,1149,,
,1149,6.178157329559326,0
0.0001,1199,,
,1199,6.397805213928223,0
0.0001,1249,,
,1249,6.379401683807373,0
0.0001,1299,,
,1299,6.229481220245361,0
0.0001,1349,,
,1349,6.251961708068848,0
0.0001,1399,,
,1399,5.9984869956970215,0
0.0001,1449,,
,1449,6.192070484161377,0
0.0001,1499,,
,1499,5.955311298370361,0
0.0001,1549,,
,1549,5.970877647399902,0
0.0001,1599,,
,1599,5.941272735595703,0
0.0001,1649,,
,1649,6.066840171813965,0
0.0001,1699,,
,1699,6.130248069763184,0
0.0001,1749,,
,1749,5.681232452392578,0
0.0001,1799,,
,1799,5.6753830909729,0
0.0001,1849,,
,1849,5.820892333984375,1
0.0001,1899,,
,1899,5.70435905456543,1
0.0001,1949,,
,1949,6.089976787567139,1
0.0001,1999,,
,1999,5.755955696105957,1
0.0001,2049,,
,2049,5.781438827514648,1
0.0001,2099,,
,2099,5.666326522827148,1
0.0001,2149,,
,2149,5.4831671714782715,1
0.0001,2199,,
,2199,5.846158504486084,1
0.0001,2249,,
,2249,6.099123477935791,1
0.0001,2299,,
,2299,5.833067893981934,1
0.0001,2349,,
,2349,5.6785054206848145,1
0.0001,2399,,
,2399,5.367427349090576,1
0.0001,2449,,
,2449,5.46278190612793,1
0.0001,2499,,
,2499,5.887988567352295,1
0.0001,2549,,
,2549,5.615876197814941,1
0.0001,2599,,
,2599,5.686641216278076,1
0.0001,2649,,
,2649,5.746415615081787,1
0.0001,2699,,
,2699,5.816816329956055,1
0.0001,2749,,
,2749,5.835113048553467,1
0.0001,2799,,
,2799,5.699362754821777,1
0.0001,2849,,
,2849,5.452620983123779,1
0.0001,2899,,
,2899,5.395842552185059,1
0.0001,2949,,
,2949,5.353545188903809,1
0.0001,2999,,
,2999,5.30428409576416,1
0.0001,3049,,
,3049,5.201509475708008,1
0.0001,3099,,
,3099,5.540536880493164,1
0.0001,3149,,
,3149,5.718371868133545,1
0.0001,3199,,
,3199,5.571630001068115,1
0.0001,3249,,
,3249,5.528997898101807,1
0.0001,3299,,
,3299,5.562130451202393,1
